time [s],rudder angle [deg],north position [m],east position [m],yaw angle [deg],forward speed [m/s],sideways speed [m/s],yaw rate [deg/sec],propeller shaft speed [rpm],Throttle [?],commanded load fraction me [-],commanded load fraction hsg [-],power me [kw],available power me [kw],power electrical [kw],available power electrical [kw],power [kw],propulsion power [kw],fuel rate me [kg/s],fuel rate hsg [kg/s],fuel rate [kg/s],fuel consumption me [kg],fuel consumption hsg [kg],fuel consumption [kg],motor torque [Nm],thrust force [kN],max rudder angle [deg],min rudder angle [deg],max propeller shaft speed [rpm]
518.0,1.804109298100507,6976282.908238843,85232.57576477011,44.99156330657357,8.509142612573154,2.944091116105155,0.00015097804286150231,559.8928786922921,0.6175666984007688,0.6175666984007688,0.39215686274509803,1333.9440685456607,2160.0,200.0,510.0,1533.9440685456607,1333.9440685456607,0.07101546890074886,0.012662798496304839,0.0836782673970537,215.2933592237687,31.891258012947205,247.18461723671408,22712.449526166005,539.7129268106478,30,-30,659.9999999999999
518.5,1.8020843907606545,6976284.876377903,85236.62480462734,44.991638795594994,8.510190116034433,2.9441461407761516,0.00019058906051110282,559.7786176276054,0.617079128442913,0.617079128442913,0.39215686274509803,1332.8909174366922,2160.0,200.0,510.0,1532.8909174366922,1332.8909174366922,0.07096116290214355,0.012662798496304839,0.08362396139844838,215.3288398052198,31.89758941219536,247.2264292174133,22699.142486377656,539.4926636729227,30,-30,659.9999999999999
519.0,1.8001651118061388,6976286.844862579,85240.674236829,44.99173409012524,8.511217901013568,2.944199658099602,0.00023048528886395164,559.6570645691176,0.6165737269682356,0.6165737269682356,0.39215686274509803,1331.7992502513891,2160.0,200.0,510.0,1531.7992502513891,1331.7992502513891,0.07090489180651158,0.012662798496304839,0.08356769030281641,215.36429225112303,31.903920811443513,247.2682130625647,22685.469030208704,539.25839297596,30,-30,659.9999999999999
519.5,1.7983523215264656,6976288.813685032,85244.72405455305,44.99184933276968,8.512225146145445,2.9442516414182034,0.00027062138608689945,559.5283926373571,0.6160511363968965,0.6160511363968965,0.39215686274509803,1330.6704546172964,2160.0,200.0,510.0,1530.6704546172964,1330.6704546172964,0.07084672929789862,0.012662798496304839,0.08350952779420345,215.39971561577198,31.910252210691667,247.30996782646181,22671.445024750024,539.0104574203103,30,-30,659.9999999999999
520.0,1.7966467544513456,6976290.782837127,85248.77425068287,44.99198464346272,8.51321105671041,2.944302065736909,0.0003109521774552331,559.3927799638881,0.6155120104349711,0.6155120104349711,0.39215686274509803,1329.5059425395375,2160.0,200.0,510.0,1529.5059425395375,1329.5059425395375,0.07078675026684325,0.012662798496304839,0.08344954876314808,215.4351089909054,31.91658360993982,247.3516926008434,22657.086554467096,538.7492095840346,30,-30,659.9999999999999
520.5,1.7950490212064725,6976292.752310454,85252.8248178165,44.99214011955145,8.514174865149245,2.9443509077422516,0.00035143270603076764,559.2504095171207,0.6149570133617084,0.6149570133617084,0.39215686274509803,1328.3071488612902,2160.0,200.0,510.0,1528.3071488612902,1328.3071488612902,0.07072503071928907,0.012662798496304839,0.0833878292155939,215.47047150626506,31.922915009187975,247.3933865154512,22642.409905980818,538.475011533062,30,-30,659.9999999999999
521.0,1.7935596436403554,6976294.722096328,85256.87574827603,44.99231583590447,8.51511583155008,2.9443981458187416,0.00039201828200222794,559.1014689257736,0.6143868193121993,0.6143868193121993,0.39215686274509803,1327.0755297143505,2160.0,200.0,510.0,1527.0755297143505,1327.0755297143505,0.07066164768546854,0.012662798496304839,0.08332444618177337,215.5058023301078,31.92924640843613,247.4350487385421,22627.431552702816,538.1882344268902,30,-30,659.9999999999999
521.5,1.7921790279945709,6976296.692185805,85260.92703411721,44.99251184504547,8.516033244107089,2.9444437600458757,0.00043266451360736923,558.9461503000114,0.6138021115561029,0.6138021115561029,0.39215686274509803,1325.8125609611823,2160.0,200.0,510.0,1525.8125609611823,1325.8125609611823,0.07059667912887502,0.012662798496304839,0.08325947762517985,215.54110066967223,31.935577807684282,247.47667847735468,22612.168139334193,537.8892581198768,30,-30,659.9999999999999
522.0,1.7909074503680316,6976298.662569695,85264.97866713915,44.99272817730227,8.516926419550476,2.9444877322075604,0.0004733273515457345,558.7846500502866,0.6132035817732192,0.6132035817732192,0.39215686274509803,1324.5197366301534,2160.0,200.0,510.0,1524.5197366301534,1324.5197366301534,0.07053020385545127,0.012662798496304839,0.0831930023517561,215.57636577159997,31.941909206932436,247.51827497853057,22596.636466242282,537.5784707583687,30,-30,659.9999999999999
522.5,1.7897451084373803,6976300.633238568,85269.03063889426,44.99296484097805,8.517794703547901,2.944530045807151,0.0005139631405325164,558.6171687039199,0.6125919293264537,0.6125919293264537,0.39215686274509803,1323.19856734514,2160.0,200.0,510.0,1523.19856734514,1323.19856734514,0.07046230142309201,0.012662798496304839,0.08312509991939684,215.61159692231152,31.94824060618059,247.55983752849028,22580.85347372106,537.2562683739333,30,-30,659.9999999999999
523.0,1.7886920780535331,6976302.604182768,85273.08294069831,44.993221822548314,8.518637471077353,2.944570686054797,0.0005545286439198547,558.4439107194528,0.6119678605327679,0.6119678605327679,0.39215686274509803,1321.8505787507786,2160.0,200.0,510.0,1521.8505787507786,1321.8505787507786,0.07039305205155959,0.012662798496304839,0.08305585054786442,215.6467934483373,31.954572005428744,247.6013654537642,22564.836226143307,536.9230544729503,30,-30,659.9999999999999
523.5,1.787748313983872,6976304.575392424,85277.13556364061,44.99349908687027,8.519454126770917,2.944609639875841,0.0005949810903874549,558.2650842988069,0.6113320879329613,0.6113320879329613,0.39215686274509803,1320.4773099351964,2160.0,200.0,510.0,1520.4773099351964,1320.4773099351964,0.0703225365329361,0.012662798496304839,0.08298533502924094,215.68195471660377,31.9609034046769,247.64285812127883,22548.601896022315,536.5792396228114,30,-30,659.9999999999999
524.0,1.7869137021602624,6976306.546857462,85281.18849859433,44.993796577415466,8.520244105229764,2.9446468959171708,0.0006352782199413659,558.0809011972952,0.6106853295607736,0.6106853295607736,0.39215686274509803,1319.080311851271,2160.0,200.0,510.0,1519.080311851271,1319.080311851271,0.070250836142691,0.012662798496304839,0.08291363463899583,215.71708013467511,31.967234803925052,247.68431493859833,22532.16774798788,536.2252410350048,30,-30,659.9999999999999
