time [s],rudder angle [deg],north position [m],east position [m],yaw angle [deg],forward speed [m/s],sideways speed [m/s],yaw rate [deg/sec],propeller shaft speed [rpm],Throttle [?],commanded load fraction me [-],commanded load fraction hsg [-],power me [kw],available power me [kw],power electrical [kw],available power electrical [kw],power [kw],propulsion power [kw],fuel rate me [kg/s],fuel rate hsg [kg/s],fuel rate [kg/s],fuel consumption me [kg],fuel consumption hsg [kg],fuel consumption [kg],motor torque [Nm],thrust force [kN],max rudder angle [deg],min rudder angle [deg],max propeller shaft speed [rpm]
1329.5,-6.63575532227591,6976166.317304476,92377.0150217944,76.13788447258263,8.501415665763,2.9965075888716046,8.012274366365803e-05,499.2031466991759,0.45641370741057696,0.45641370741057696,0.39215686274509803,985.8536080068462,2160.0,200.0,510.0,1185.8536080068461,985.8536080068462,0.053828519294985756,0.012662798496304839,0.0664913177912906,86.43134065726755,21.51409464522287,107.9454353024906,18822.466211707935,429.0496589930616,30,-30,659.9999999999999
1330.0,-6.63575532227591,6976165.881097856,92381.5008890793,76.13792453395446,8.501404110102555,2.996514346424061,7.22661459749552e-05,499.190147188866,0.456385637725459,0.456385637725459,0.39215686274509803,985.7929774869914,2160.0,200.0,510.0,1185.7929774869913,985.7929774869914,0.05382560266288016,0.012662798496304839,0.066488401159185,86.45825345859899,21.520426044471023,107.97867950307018,18821.797813700785,429.0273139302039,30,-30,659.9999999999999
1330.5,-6.63575532227591,6976165.444883435,92385.98675125914,76.13796066702746,8.501390990894855,2.9965212239306496,6.443260585337238e-05,499.1773363230581,0.456358272444802,0.456358272444802,0.39215686274509803,985.7338684807722,2160.0,200.0,510.0,1185.7338684807723,985.7338684807722,0.053822759230115105,0.012662798496304839,0.06648555772641994,86.48516483821405,21.526757443719177,108.0119222819334,18821.151332905203,429.00529370062935,30,-30,659.9999999999999
1331.0,-6.63575532227591,6976165.008661275,92390.47260761922,76.13799288333037,8.50137633762356,2.9965282192485265,5.662370384520421e-05,499.1647275467212,0.4563316378232765,0.4563316378232765,0.39215686274509803,985.6763376982773,2160.0,200.0,510.0,1185.6763376982774,985.6763376982773,0.05381999172417858,0.012662798496304839,0.06648279022048342,86.51207483407613,21.53308884296733,108.04516367704363,18820.527348599077,428.9836213886641,30,-30,659.9999999999999
1331.5,-6.63575532227591,6976164.572431441,92394.95845745875,76.13802119518229,8.501360181194277,2.996535330229668,4.884100054949421e-05,499.15233396214404,0.45630575907248283,0.45630575907248283,0.39215686274509803,985.6204395965628,2160.0,200.0,510.0,1185.6204395965628,985.6204395965628,0.053817302764167595,0.012662798496304839,0.06648010126047244,86.53898348545822,21.539420242215485,108.07840372767387,18819.92641000806,428.96231948771646,30,-30,659.9999999999999
1332.0,-6.63575532227591,6976164.136194004,92399.44430009162,76.13804561568257,8.501342553887435,2.99654255472197,4.1086035958064515e-05,499.1401683174897,0.4562806603425905,0.4562806603425905,0.39215686274509803,985.5662263399955,2160.0,200.0,510.0,1185.5662263399954,985.5662263399955,0.05381469485888339,0.012662798496304839,0.06647749335518822,86.56589083288766,21.54575164146364,108.11164247435147,18819.34903596486,428.94140988077515,30,-30,659.9999999999999
1332.5,-6.63575532227591,6976163.699949035,92403.93013484703,76.13806615870054,8.501323489310092,2.996549890570335,3.336032881764908e-05,499.1282429958391,0.45625636470530867,0.45625636470530867,0.39215686274509803,985.5137477634667,2160.0,200.0,510.0,1185.5137477634667,985.5137477634667,0.05381217040506482,0.012662798496304839,0.06647496890136965,86.59279691809019,21.552083040711793,108.14487995880215,18818.795714604974,428.92091382175,30,-30,659.9999999999999
1333.0,-6.63575532227591,6976163.263696614,92408.41596107013,76.13808283886495,8.501303022346729,2.9965573356177426,2.5665376015894266e-05,499.1165700047303,0.45623289413820184,0.45623289413820184,0.39215686274509803,985.4630513385159,2160.0,200.0,510.0,1185.463051338516,985.4630513385159,0.05380973168576161,0.012662798496304839,0.06647253018206645,86.61970178393307,21.558414439959947,108.17811622389318,18818.26690309941,428.90085191767065,30,-30,659.9999999999999
1333.5,-6.63575532227591,6976162.827436821,92412.90177812263,76.13809567155295,8.50128118910909,2.9965648877063,1.800265198808107e-05,499.1051609662013,0.45621026951035026,0.45621026951035026,0.39215686274509803,985.4141821423565,2160.0,200.0,510.0,1185.4141821423564,985.4141821423565,0.053807380868847,0.012662798496304839,0.06647017936515184,86.64660547436749,21.5647458392081,108.21135131357576,18817.76302742407,428.8812441117531,30,-30,659.9999999999999
1334.0,-6.63575532227591,6976162.391169741,92417.38758538342,76.13810467287894,8.501258026885145,2.996572544678278,1.0373608150532271e-05,499.0940271073445,0.45618851056935894,0.45618851056935894,0.39215686274509803,985.3671828298153,2160.0,200.0,510.0,1185.3671828298154,985.3671828298153,0.05380512000567076,0.012662798496304839,0.0664679185019756,86.67350803437033,21.571077238456255,108.24458527282675,18817.28448216568,428.86210966734706,30,-30,659.9999999999999
