time [s],rudder angle [deg],north position [m],east position [m],yaw angle [deg],forward speed [m/s],sideways speed [m/s],yaw rate [deg/sec],propeller shaft speed [rpm],Throttle [?],commanded load fraction me [-],commanded load fraction hsg [-],power me [kw],available power me [kw],power electrical [kw],available power electrical [kw],power [kw],propulsion power [kw],fuel rate me [kg/s],fuel rate hsg [kg/s],fuel rate [kg/s],fuel consumption me [kg],fuel consumption hsg [kg],fuel consumption [kg],motor torque [Nm],thrust force [kN],max rudder angle [deg],min rudder angle [deg],max propeller shaft speed [rpm]
41.0,-2.5751439640509917,6974244.496878403,81466.63027090665,96.0829055750403,8.446675065602902,1.7105746870987362,0.11761085428290151,463.8953369078559,0.28332355757130645,0.28332355757130645,0.39215686274509803,611.978884354022,2160.0,200.0,510.0,811.978884354022,611.978884354022,0.03557870864527906,0.012662798496304839,0.0482415071415839,3.3729685185978724,0.5255061375966503,3.8984746561945234,12571.721027363343,370.5040389274716,30,-30,659.9999999999999
41.5,-2.448976344190731,6974243.19887056,81470.73919679981,96.14171100218174,8.447616690134874,1.7143081602660128,0.11244325169037295,458.4306272964796,0.2722307259149338,0.2722307259149338,0.39215686274509803,588.018367976257,2160.0,200.0,510.0,788.018367976257,588.018367976257,0.03436198914328874,0.012662798496304839,0.04702478763959358,3.3901495131695167,0.5318375368448027,3.9219870500143204,12223.200552395005,361.82634243853744,30,-30,659.9999999999999
42.0,-2.3360482613572326,6974241.894739819,81474.84705671258,96.19793262802693,8.447926128921544,1.7180683527174658,0.10723857222644667,452.92843464920725,0.2613920361089418,0.2613920361089418,0.39215686274509803,564.6067979953142,2160.0,200.0,510.0,764.6067979953142,564.6067979953142,0.033164074892918276,0.012662798496304839,0.045826873389223116,3.4067315506159757,0.5381689360929551,3.944900486708932,11878.817758561163,353.19301443742813,30,-30,659.9999999999999
42.5,-2.2359494920833782,6974240.584693047,81478.95358579968,96.25155191414017,8.447608712652606,1.7218630439712126,0.10200259507103769,447.3932108124221,0.2508199818376402,0.2508199818376402,0.39215686274509803,541.7711607693028,2160.0,200.0,510.0,741.7711607693028,541.7711607693028,0.03198642359790436,0.012662798496304839,0.0446492220942092,3.4227247624149277,0.5445003353411075,3.9672250977560366,11539.098813322831,344.61304359362236,30,-30,659.9999999999999
43.0,-2.1482728749829527,6974239.268935044,81483.0585227301,96.30255321167567,8.44667040467898,1.7256994836652964,0.09674092676460704,441.82968648994967,0.24052676596784045,0.24052676596784045,0.39215686274509803,519.5378144905353,2160.0,200.0,510.0,719.5378144905353,519.5378144905353,0.030830571310797673,0.012662798496304839,0.043493369807102514,3.4381400480703266,0.5508317345892599,3.988971782659588,11204.591345368324,336.0955157713642,30,-30,659.9999999999999
43.5,-2.0726146965096177,6974237.947668469,81487.16160992689,96.35092367505798,8.445117801760695,1.7295844043903037,0.09145900007370607,436.2428911707545,0.23052428445096776,0.23052428445096776,0.39215686274509803,497.9324544140904,2160.0,200.0,510.0,697.9324544140903,497.9324544140904,0.029698127384668642,0.012662798496304839,0.04236092588097348,3.452989111762661,0.5571631338374123,4.010152245600075,10875.865478317162,327.64961241648143,30,-30,659.9999999999999
44.0,-2.0085752397021492,6974236.621093773,81491.2625938091,96.39665317509483,8.442958134757976,1.7335240348847938,0.08616207318272427,430.6381741429875,0.22082411012878372,0.22082411012878372,0.39215686274509803,476.98007787817284,2160.0,200.0,510.0,676.9800778781729,476.98007787817284,0.02859076825707764,0.012662798496304839,0.04125356675338248,3.4672844958912,0.5634945330855647,4.030779028976767,10553.51484748136,319.2846086576507,30,-30,659.9999999999999
44.5,-1.9557590573700243,6974235.289409135,81495.36122503594,96.43973421168619,8.440199269253279,1.7375241136278228,0.08085522927199634,425.0212265639085,0.2114374764491218,0.2114374764491218,0.39215686274509803,456.7049491301031,2160.0,200.0,510.0,656.7049491301032,456.7049491301031,0.027510230114546324,0.012662798496304839,0.04017302861085116,3.481039610948473,0.5698259323337171,4.0508655432821925,10238.157576683076,311.0098710810116,30,-30,659.9999999999999
45.0,-1.913775382475973,6974233.952810382,81499.45725875307,96.48016182632219,8.436849706089326,1.7415899026989865,0.07554337637642747,419.3981045267921,0.20237526109948448,0.20237526109948448,0.39215686274509803,437.1305639748865,2160.0,200.0,510.0,637.1305639748864,437.1305639748865,0.02645830049780929,0.012662798496304839,0.03912109899411413,3.494268761197378,0.5761573315818695,4.0704260927792495,9930.437186159406,302.83485513228766,30,-30,659.9999999999999
45.5,-1.8822385348234196,6974232.6114909295,81503.55045484105,96.51793351451042,8.432918581803397,1.7457262019322983,0.0702312475740925,413.77525303027244,0.19364796956874233,0.19364796956874233,0.39215686274509803,418.27961426848344,2160.0,200.0,510.0,618.2796142684833,418.27961426848344,0.025436808919837343,0.012662798496304839,0.038099607416142184,3.5069871656572964,0.582488730830022,4.089475896487321,9631.02339556745,294.7691020953276,30,-30,659.9999999999999
46.0,-1.8607681053973835,6974231.265641706,81507.64057816596,96.55304913829745,8.42841566893472,1.749937363335487,0.06492340150036918,408.1595307114322,0.1852657186490943,0.1852657186490943,0.39215686274509803,400.1739522820437,2160.0,200.0,510.0,600.1739522820436,400.1739522820437,0.024447616579723466,0.012662798496304839,0.0371104150760283,3.519210973947158,0.5888201300781744,4.1080311040253354,9340.612777858247,286.8222355902489,30,-30,659.9999999999999
46.5,-1.8489894368347617,6974229.915451087,81511.72739883208,96.58551083904766,8.423351376177578,1.7542273056667135,0.05962422310062787,402.55823514984843,0.17723821989280703,0.17723821989280703,0.39215686274509803,382.8345549684632,2160.0,200.0,510.0,582.8345549684633,382.8345549684632,0.02349260526599475,0.012662798496304839,0.03615540376229959,3.5309572765801556,0.5951515293263268,4.126108805906485,9059.929210272221,279.00395752803223,30,-30,659.9999999999999
47.0,-1.8465337182743136,6974228.561104824,81515.81069243673,96.61532295059796,8.417736748347165,1.7585995292537215,0.054337924729088584,396.97912848426967,0.16957476304127878,0.16957476304127878,0.39215686274509803,366.2814881691621,2160.0,200.0,510.0,566.2814881691621,366.2814881691621,0.022573665552668938,0.012662798496304839,0.03523646404897378,3.5422441093564903,0.6014829285744792,4.143727037930972,8789.724057887266,271.3240434514321,30,-30,659.9999999999999
47.5,-1.8530384290965998,6974227.202785981,81519.89024032687,96.64249191296251,8.41158346612141,1.7630571308863618,0.04906854744468092,391.4304630051126,0.1622841994463915,0.1622841994463915,0.39215686274509803,350.53387080420566,2160.0,200.0,510.0,550.5338708042057,350.53387080420566,0.02169268440014832,0.012662798496304839,0.03435548289645316,3.5530904515565642,0.6078143278226316,4.160904779379199,8530.776012976396,263.79233718442066,30,-30,659.9999999999999
48.0,-1.868147401211837,6974225.840674866,81523.96582985779,96.66702618668485,8.40490384551493,1.767602818888308,0.04381996263049007,385.9210062929883,0.15537492550799867,0.15537492550799867,0.39215686274509803,335.60983909727713,2160.0,200.0,510.0,535.6098390972771,335.60983909727713,0.020851532280970315,0.012662798496304839,0.033514330777275156,3.563516217697049,0.614145727070784,4.177661944767836,8283.89050012632,256.4187447038978,30,-30,659.9999999999999
48.5,-1.8915111533801485,6974224.474948968,81528.03725465332,96.68893616800008,8.397710837036701,1.7722389282015139,0.038595873788781966,380.46006536477665,0.14885486615440569,0.14885486615440569,0.39215686274509803,321.5265108935163,2160.0,200.0,510.0,521.5265108935163,321.5265108935163,0.020052049957130665,0.012662798496304839,0.0327148484534355,3.5735422426756145,0.6204771263189364,4.194019368994554,8049.89854276654,249.2132271381245,30,-30,659.9999999999999
49.0,-1.9227870366597306,6974223.105782893,81532.10431486781,96.70823410489449,8.390018024474942,1.7769674355621048,0.03339981860865834,375.05750916335046,0.14273145839730833,0.14273145839730833,0.39215686274509803,308.299950138186,2160.0,200.0,510.0,508.299950138186,308.299950138186,0.019296035041357337,0.012662798496304839,0.03195883353766218,3.583190260196293,0.6268085255670888,4.209998785763385,7829.654972034254,242.18579278606575,30,-30,659.9999999999999
49.5,-1.9616394078150865,6974221.733348303,81536.16681744937,96.72493401419881,8.381839623246634,1.781789974673808,0.028235171230163395,369.72378858467204,0.13701163499661143,0.13701163499661143,0.39215686274509803,295.9451315926807,2160.0,200.0,510.0,495.9451315926807,295.9451315926807,0.018585228478980063,0.012662798496304839,0.0312480269752849,3.5924828744357833,0.6331399248152412,4.225622799251028,7624.0358443320465,235.34648804059273,30,-30,659.9999999999999
50.0,-2.007739800619214,6974220.3578138575,81540.22457640427,96.73905159981389,8.37319047824049,1.7867078513678867,0.023105144709927663,364.46995307718083,0.1317018082757276,0.1317018082757276,0.39215686274509803,284.47590587557164,2160.0,200.0,510.0,484.47590587557164,284.47590587557164,0.01792130109005428,0.012662798496304839,0.030584099586359118,3.6014435249808106,0.6394713240633936,4.2409148490442075,7433.934920636121,228.70538708610812,30,-30,659.9999999999999
50.5,-2.060767055472663,6974218.979345158,81544.2774130624,96.75060417216885,8.364086061073683,1.7917220587272964,0.01801279368188987,359.30766267518084,0.12680785413331266,0.12680785413331266,0.39215686274509803,273.90496492795535,2160.0,200.0,510.0,473.90496492795535,273.90496492795535,0.017305840312961684,0.012662798496304839,0.02996863880926652,3.6100964451372914,0.645802723311546,4.255899168448841,7260.2590499287735,222.27258022763044,30,-30,659.9999999999999
51.0,-2.1204074646156985,6974217.598104691,81548.32515634311,96.75961056900981,8.354542466673202,1.7968332921389234,0.012961017191756553,354.24919414407265,0.12233509630334438,0.1223350963033444,0.39215686274509803,264.24380801522386,2160.0,200.0,510.0,464.24380801522386,264.24380801522386,0.016740337290811504,0.012662798496304839,0.02940313578711634,3.6184666137826973,0.6521341225596984,4.2706007363423995,7103.9222929322295,216.0581606936232,30,-30,659.9999999999999
51.5,-2.186354800645785,6974216.214251779,81552.36764302148,96.7660910776057,8.344576409082133,1.8020419642596457,0.007952561705097838,349.3074397269486,0.11828829092212731,0.11828829092212731,0.39215686274509803,255.50270839179498,2160.0,200.0,510.0,455.502708391795,255.50270839179498,0.01622617444057671,0.012662798496304839,0.02888897293688155,3.6265797010029854,0.6584655218078508,4.28504522281084,6965.838622960792,210.07220973890426,30,-30,659.9999999999999
52.0,-2.2583104953180118,6974214.82794253,81556.4047179944,96.77006735845825,8.334205216379933,1.8073482198346122,0.0029900242398485234,344.4958967984664,0.11467161146802743,0.11467161146802743,0.39215686274509803,247.69068077093925,2160.0,200.0,510.0,447.6906807709392,247.69068077093925,0.015764613641961214,0.012662798496304839,0.02842741213826605,3.634462007823966,0.6647969210560032,4.299258928879973,6846.913051006392,204.32477985694328,30,-30,659.9999999999999
52.5,-2.3359836288831914,6974213.439329791,81560.43623454597,96.77156237057817,8.323446824592803,1.8127519504047604,-0.0019241443269798185,339.8286465658082,0.11148863414795382,0.11148863414795382,0.39215686274509803,240.81544975958025,2160.0,200.0,510.0,440.81544975958025,240.81544975958025,0.015356785178548013,0.012662798496304839,0.02801958367485285,3.64214040041324,0.6711283203041556,4.313268720717399,6748.031045410842,198.82587589298575,30,-30,659.9999999999999
53.0,-2.4190910305960722,6974212.048563108,81564.46205461185,96.77060029841466,8.312319770457421,1.8182528088161194,-0.006787635854664564,335.3203198248048,0.10874232381312965,0.10874232381312965,0.39215686274509803,234.88341943636004,2160.0,200.0,510.0,434.88341943636,234.88341943636004,0.015003677557736208,0.012662798496304839,0.027666476054041045,3.649642239192108,0.677459719552308,4.32710195874442,6670.046156127928,193.58543383125203,30,-30,659.9999999999999
53.5,-2.5073573250117707,6974210.655788685,81568.48204904191,96.76720648048735,8.300843182885774,1.823850223555593,-0.011598281400942868,330.9860477031451,0.10643502049663289,0.10643502049663289,0.39215686274509803,229.89964427272704,2160.0,200.0,510.0,429.8996442727271,229.89964427272704,0.014706128328496808,0.012662798496304839,0.027368926824801645,3.6569953033563563,0.6837911188004604,4.34078642215682,6613.76581316803,188.61329701170897,30,-30,659.9999999999999
54.0,-2.600514881485429,6974209.261149349,81572.49609786036,96.76140733978687,8.289036772963602,1.8295434128767876,-0.016354047577118693,326.8413953274617,0.10456842667543051,0.10456842667543051,0.39215686274509803,225.8678016189299,2160.0,200.0,510.0,425.8678016189299,225.8678016189299,0.014464816006959019,0.012662798496304839,0.027127614503263855,3.664227711359836,0.6901225180486128,4.354350229408452,6579.935351225096,183.91918951590472,30,-30,659.9999999999999
54.5,-2.698303917523019,6974207.864784515,81576.5040905229,96.75323031599832,8.276920822297907,1.835331398666145,-0.021053032837528348,322.9022764657714,0.10314359537099113,0.10314359537099113,0.39215686274509803,222.79016600134085,2160.0,200.0,510.0,422.7901660013408,222.79016600134085,0.014280253209444085,0.012662798496304839,0.026943051705748924,3.671367837964558,0.6964539172967652,4.3678217552613265,6569.2204195263,179.5126864488879,30,-30,659.9999999999999
55.0,-2.800472435118274,6974206.466830165,81580.50592616972,96.74270379957954,8.26451616951117,1.8412130200911647,-0.025693463652574598,319.18484745189215,0.10216091921471443,0.10216091921471443,0.39215686274509803,220.66758550378316,2160.0,200.0,510.0,420.6675855037832,220.66758550378316,0.014152781080832144,0.012662798496304839,0.026815579577136983,3.678444228504974,0.7027853165449176,4.381229545049895,6582.1880673636915,175.4031808378609,30,-30,659.9999999999999
55.5,-2.906776212359023,6974205.067418816,81584.50151387365,96.72985706775327,8.251844194662675,1.8471869469556943,-0.03027369063255842,315.7053791237058,0.10162012061673567,0.10162012061673567,0.39215686274509803,219.49946053214904,2160.0,200.0,510.0,419.49946053214904,219.49946053214904,0.014082565093103268,0.012662798496304839,0.026745363589408107,3.6854855110515254,0.70911671579307,4.394602226844599,6619.286948346457,171.59984687133002,30,-30,659.9999999999999
56.0,-3.016978781373306,6974203.666679503,81588.49077288229,96.71472022243698,8.238926801359149,1.8532516927702205,-0.03479218458751691,312.4801061272559,0.10152024318985581,0.10152024318985581,0.39215686274509803,219.28372529008854,2160.0,200.0,510.0,419.28372529008857,219.28372529008854,0.014069592274757545,0.012662798496304839,0.026732390771062382,3.692520307188904,0.7154481150412224,4.40796842223013,6680.827253154799,168.11159921929072,30,-30,659.9999999999999
