time [s],rudder angle [deg],north position [m],east position [m],yaw angle [deg],forward speed [m/s],sideways speed [m/s],yaw rate [deg/sec],propeller shaft speed [rpm],Throttle [?],commanded load fraction me [-],commanded load fraction hsg [-],power me [kw],available power me [kw],power electrical [kw],available power electrical [kw],power [kw],propulsion power [kw],fuel rate me [kg/s],fuel rate hsg [kg/s],fuel rate [kg/s],fuel consumption me [kg],fuel consumption hsg [kg],fuel consumption [kg],motor torque [Nm],thrust force [kN],max rudder angle [deg],min rudder angle [deg],max propeller shaft speed [rpm]
428.0,1.660426745352712,6975928.5242158305,84504.60007361216,44.836369417688346,8.562057703202868,2.9424477091988552,0.002723950952162678,562.7243913765842,0.6173328731070888,0.6173328731070888,0.39215686274509803,1333.4390059113118,2160.0,200.0,510.0,1533.4390059113118,1333.4390059113118,0.07098942273498345,0.012662798496304839,0.08365222123128828,148.6476793563711,22.280193954249498,170.9278733106204,22589.80251884386,545.1856459812989,30,-30,659.9999999999999
428.5,1.661240326400778,6975930.522656099,84508.66183974929,44.83773139316443,8.563196969358868,2.9425039193303646,0.002807762265458696,562.1902607016297,0.6156106531733064,0.6156106531733064,0.39215686274509803,1329.7190108543418,2160.0,200.0,510.0,1529.7190108543418,1329.7190108543418,0.07079772269936624,0.012662798496304839,0.08346052119567107,148.68307821772078,22.28652535349765,170.96960357121824,22548.148199441486,544.151170917775,30,-30,659.9999999999999
429.0,1.6622929687959889,6975932.521383928,84512.72407496862,44.83913527429716,8.564262557912958,2.942555865271953,0.002890095544796593,561.649483005355,0.6138826866807451,0.6138826866807451,0.39215686274509803,1325.9866032304094,2160.0,200.0,510.0,1525.9866032304094,1325.9866032304094,0.07060563039163022,0.012662798496304839,0.08326842888793505,148.7183810329166,22.292856752745806,171.01123778566222,22506.470012757196,543.1048230575269,30,-30,659.9999999999999
429.5,1.663581250267215,6975934.520371707,84516.78675326063,44.84058032206956,8.5652540583694,2.9426035742681003,0.0029708709982173113,561.1025933775735,0.6121506992571456,0.6121506992571456,0.39215686274509803,1322.2455103954344,2160.0,200.0,510.0,1522.2455103954344,1322.2455103954344,0.07041333734259453,0.012662798496304839,0.08307613583889936,148.7535877015879,22.29918815199396,171.05277585358166,22464.80835168615,542.0476733687685,30,-30,659.9999999999999
430.0,1.6651015676398675,6975936.519591724,84520.84984845368,44.84206575756867,8.566171132644351,2.9426470773245827,0.0030500111746811264,560.5501304781623,0.6104164075201947,0.6104164075201947,0.39215686274509803,1318.4994402436205,2160.0,200.0,510.0,1518.4994402436205,1318.4994402436205,0.07022103307401444,0.012662798496304839,0.08288383157031927,148.7886982181249,22.305519551242114,171.09421776936682,22423.203451905843,540.9807960893735,30,-30,659.9999999999999
430.5,1.6668501578667436,6975938.5190161895,84524.91333423936,44.843590763156016,8.567013514918125,2.9426864091406517,0.0031274410182352704,559.9926361422702,0.6086815174996755,0.6086815174996755,0.39215686274509803,1314.752077799299,2160.0,200.0,510.0,1514.752077799299,1314.752077799299,0.0700289049496314,0.012662798496304839,0.08269170344593624,148.82371267059972,22.311850950490268,171.1355636210898,22381.695354007235,539.9052678236628,30,-30,659.9999999999999
431.0,1.6688230529974637,6975940.5186172705,84528.97718419779,44.845154483665134,8.567781011428842,2.942721608029982,0.003203087910978355,559.4306549764889,0.6069477230761477,0.6069477230761477,0.39215686274509803,1311.007081844479,2160.0,200.0,510.0,1511.007081844479,1311.007081844479,0.06983713803176628,0.012662798496304839,0.08249993652807111,148.8586312396156,22.31818234973842,171.17681358935383,22340.323865388345,538.8221666353998,30,-30,659.9999999999999
431.5,1.6710161299936557,6975942.518367112,84533.04137182291,44.846756027620614,8.568473500207364,2.942752715864058,0.0032768817390473955,558.8647339459751,0.6052167044376134,0.6052167044376134,0.39215686274509803,1307.268081585245,2160.0,200.0,510.0,1507.268081585245,1307.268081585245,0.06964591494333885,0.012662798496304839,0.08230871343964369,148.89345419708727,22.324513748986575,171.21796794607366,22299.128521951607,537.7325711374372,30,-30,659.9999999999999
432.0,1.6734250662080523,6975944.518237866,84537.10587054757,44.848394468490135,8.569090930754076,2.9427797779892915,0.0033487549324666653,558.2954219525476,0.603490126555345,0.603490126555345,0.39215686274509803,1303.538673359545,2160.0,200.0,510.0,1503.538673359545,1303.538673359545,0.06945541573515783,0.012662798496304839,0.08211821423146266,148.92818190495484,22.33084514823473,171.25902705318939,22258.148549638474,536.6375595784906,30,-30,659.9999999999999
432.5,1.6760454378753655,6975946.51820172,84541.17065376874,44.85006884595638,8.569633323657166,2.942802843166503,0.003418642527775808,557.7232694038084,0.6017696376804338,0.6017696376804338,0.39215686274509803,1299.822417389737,2160.0,200.0,510.0,1499.822417389737,1299.822417389737,0.0692658177583613,0.012662798496304839,0.08192861625466613,148.96281481383403,22.337176547482883,171.29999136131673,22217.422825852078,535.5382089275319,30,-30,659.9999999999999
433.0,1.6788726114770611,6975948.518230919,84545.23569487239,44.85177816722027,8.570100770153047,2.942821963459927,0.0034864821793395796,557.1488277733874,0.6000568678622273,0.6000568678622273,0.39215686274509803,1296.122834582411,2160.0,200.0,510.0,1496.122834582411,1296.122834582411,0.06907729554184124,0.012662798496304839,0.08174009403814607,148.99735346160494,22.343507946731037,171.3408614083358,22176.98984080675,534.4355939563346,30,-30,659.9999999999999
433.5,1.6819018545556967,6975950.518297794,84549.30096725837,44.85352140830992,8.570493431628174,2.942837194182181,0.0035522142267415346,556.5726491524362,0.5983534274903863,0.5983534274903863,0.39215686274509803,1292.4434033792345,2160.0,200.0,510.0,1492.4434033792345,1292.4434033792345,0.06889002067454551,0.012662798496304839,0.08155281917085035,149.0317984719422,22.34983934597919,171.38163781792122,22136.887658867192,533.3307863207272,30,-30,659.9999999999999
434.0,1.685128228599703,6975952.518374792,84553.36644436515,44.8552975154233,8.570811539063568,2.942848593782335,0.0036157817044713955,555.9952857925591,0.5966609058614676,0.5966609058614676,0.39215686274509803,1288.78755666077,2160.0,200.0,510.0,1488.78755666077,1288.78755666077,0.06870416169246023,0.012662798496304839,0.08136696018876506,149.06615055278843,22.356170745227345,171.4223212980156,22097.153879911875,532.2248536411654,30,-30,659.9999999999999
