id,easting,northing,heading,color
2,81153,6974308,90.0,white
3,81384,6974272,79.20992013007283,white
4,81645,6974271,45.975352944428316,white
5,82381,6974390,-11.582226486492475,red
6,82423,6974402,-12.645200216328071,red
7,82466,6974415,-13.714712274660444,red
8,82507,6974430,-14.429216531014516,red
9,81873,6974383,22.294086055501033,white
10,82782,6974579,-11.981815430439312,red
11,82818,6974606,-10.711578994875344,red
12,82063,6974546,25.421801369264404,white
13,82924,6974691,-6.867317776048239,red
14,82961,6974715,-6.207669057106065,red
15,82969,6974784,0.5308942621143824,red
16,83010,6974802,0.3228120422249317,red
17,83039,6974833,2.004158730610423,red
18,83078,6974852,2.0730009917715315,red
19,83126,6974858,0.2979409234667917,red
20,83149,6974897,3.095546751249682,red
21,82259,6974720,32.13007268501666,white
22,83172,6974932,5.4874886321243945,red
23,83222,6974940,3.835292280241907,red
24,83270,6974946,2.1211625642218683,red
25,83320,6974950,0.11757129245169161,red
26,82480,6974887,36.96682586299029,white
27,83534,6975042,12.002318494029653,red
28,83566,6975066,13.506532603247598,red
29,83619,6975070,12.234427955270707,red
30,83658,6975087,12.673575519984539,red
31,83700,6975101,12.794784410547997,red
32,82724,6975045,40.020072774843314,white
33,82985,6975194,41.79911149917196,white
34,83266,6975325,49.75023631845283,white
35,83569,6975432,52.88302879850533,white
36,85095,6975442,1.7897373322236652,red
37,85138,6975452,1.3736752850632394,red
38,83881,6975528,52.705100119203614,white
39,85221,6975479,1.3927293925622357,red
40,85258,6975498,2.379523883488286,red
41,85295,6975517,3.1980416173335158,red
42,85331,6975539,4.37918812668164,red
43,85365,6975561,5.642797894636074,red
44,85399,6975583,6.985168545371433,red
45,84196,6975622,52.06829132019455,white
46,85434,6975604,7.939062659172092,red
47,85470,6975623,8.760130087353343,red
48,85506,6975642,9.568901977934317,red
49,85545,6975657,9.918138083051305,red
50,85585,6975671,10.041343219418952,red
51,85624,6975688,10.49969802498123,red
52,85662,6975704,10.954828485975904,red
53,85701,6975719,11.186716337769111,red
54,84511,6975719,51.64747757538232,white
55,85745,6975730,10.866344941347155,red
56,85792,6975737,9.985982028837014,red
57,85841,6975743,8.97921815264433,red
58,85887,6975750,8.18642595922014,red
59,85931,6975760,7.73336789038376,red
60,85973,6975772,7.628994813875395,red
61,86014,6975786,7.75868724063519,red
62,84825,6975818,51.44094248900039,white
63,86058,6975795,7.157951734327704,red
64,86096,6975803,6.68312182159562,red
65,86128,6975809,6.3059076700469925,red
66,86152,6975815,6.136511495290958,red
67,86168,6975820,6.041458919033738,red
68,86175,6975825,6.387443338568524,red
69,86179,6975827,6.518871939108489,red
70,86182,6975829,6.601649967721433,red
71,85125,6975907,50.98777189792459,white
72,86183,6975830,6.656433529331298,red
73,86185,6975830,6.57430918580337,red
74,86186,6975830,6.600831549591438,red
75,86187,6975830,6.499999967151351,red
76,86187,6975830,6.513952365823388,red
77,86188,6975829,6.404117461246289,red
78,86188,6975829,6.411852503783827,red
79,86189,6975830,6.417681923539789,red
80,85370,6975960,48.61439628323007,white
81,86189,6975830,6.422105897420769,red
82,86189,6975830,6.425482110302064,red
83,86189,6975830,6.428069992023902,red
84,86189,6975830,6.430060057236708,red
85,86189,6975830,6.431593781240516,red
86,86189,6975830,6.432777277037987,red
87,86189,6975830,6.433690861075834,red
88,85565,6975986,44.688869668296185,white
89,86189,6975830,6.444678676091176,red
90,86196,6975835,6.7346328974835235,red
91,86220,6975850,7.43264084475442,red
92,86256,6975872,8.446544990857323,red
93,86289,6975897,9.779450573161734,red
94,86326,6975919,10.7308998979682,red
95,86373,6975929,10.19271115610151,red
96,86430,6975930,8.37150122306182,red
97,85742,6976014,40.55769847037784,white
98,86476,6975944,8.230473874845769,red
99,86534,6975941,5.979686698619636,red
100,86582,6975953,31.80002451885691,red
101,86615,6975971,32.64783871849136,red
102,86649,6975988,33.74691264790086,red
103,86688,6976000,34.532433302752594,red
104,86733,6976008,34.89672638666683,red
105,86780,6976014,35.24437407203674,red
106,85941,6976083,39.49535405699543,white
107,86826,6976021,35.692857113973936,red
108,86899,6976010,34.36958343172373,red
109,86963,6976004,33.67060141016924,red
110,86995,6976019,35.104996272333565,red
111,87028,6976033,36.46776859227453,red
112,87062,6976046,37.697464881402475,red
113,87090,6976062,39.24579266780178,red
114,86161,6976179,41.57370962808011,white
115,87118,6976076,40.65790381592691,red
116,87146,6976090,42.02455238772231,red
117,87178,6976101,43.07598306241006,red
118,87258,6976086,41.49006859904204,red
119,87385,6976040,36.66959690683895,red
120,87411,6976057,38.31576730020732,red
121,87567,6975979,30.26800549511234,red
122,87617,6975980,30.253294210429,red
123,86420,6976261,57.19288633945533,white
124,87678,6975971,29.19688522600172,red
125,87730,6975969,28.83576392854426,red
126,86720,6976306,65.03740479012639,white
127,87043,6976326,66.60450135056274,white
128,87378,6976337,66.83069578040963,white
129,87721,6976347,66.97449180308456,white
130,88068,6976356,67.15815434485998,white
131,88418,6976364,67.33285860645975,white
132,88770,6976373,67.4678298484452,white
133,89123,6976381,67.55818727789526,white
134,89478,6976389,67.61094090185101,white
135,89832,6976396,67.63443808946077,white
136,89973,6976398,67.56835830674797,white
